source,target,x1
130,3.09,120
130,3.45,240
130,3.21,360
131,0.98,1
131,1.42,2
131,1.61,3
131,2.4,6
131,2.79,12
131,3.06,24
131,3.2,36
131,3.22,60
131,3.24,84
131,3.16,120
131,3.49,240
131,3.25,360
132,1.08,1
132,1.48,2
132,1.7,3
132,2.46,6
132,2.92,12
132,3.21,24
132,3.35,36
132,3.38,60
132,3.39,84
132,3.31,120
132,3.63,240
132,3.39,360
133,1.15,1
133,1.5,2
133,1.63,3
133,2.25,6
133,2.86,12
133,3.17,24
133,3.35,36
133,3.34,60
133,3.34,84
133,3.25,120
133,3.55,240
133,3.3,360
134,1.19,1
134,1.47,2
134,1.59,3
134,2.24,6
134,2.88,12
134,3.14,24
134,3.33,36
134,3.35,60
134,3.36,84
134,3.28,120
134,3.59,240
134,3.35,360
135,1.21,1
135,1.56,2
135,1.74,3
135,2.32,6
135,2.93,12
135,3.2,24
135,3.35,36
135,3.38,60
135,3.39,84
135,3.33,120
135,3.64,240
135,3.39,360
136,1.19,1
136,1.55,2
136,1.83,3
136,2.43,6
136,3.15,12
136,3.45,24
136,3.6,36
136,3.61,60
136,3.6,84
136,3.49,120
136,3.72,240
136,3.45,360
137,1.13,1
137,1.45,2
137,1.73,3
137,2.25,6
137,2.89,12
137,3.4,24
137,3.56,36
137,3.56,60
137,3.53,84
137,3.43,120
137,3.68,240
137,3.42,360
138,1.1,1
138,1.25,2
138,1.39,3
138,1.98,6
138,2.58,12
138,3.06,24
138,3.21,36
138,3.25,60
138,3.24,84
138,3.15,120
138,3.45,240
138,3.2,360
139,1.05,1
139,1.17,2
139,1.3,3
139,1.81,6
139,2.35,12
139,2.83,24
139,2.99,36
139,3.07,60
139,3.08,84
139,3.04,120
139,3.4,240
139,3.18,360
140,0.89,1
140,1.1,2
140,1.28,3
140,1.77,6
140,2.29,12
140,2.78,24
140,2.94,36
140,3.03,60
140,3.06,84
140,3.03,120
140,3.4,240
140,3.18,360
141,0.87,1
141,1.08,2
141,1.26,3
141,1.75,6
141,2.26,12
141,2.75,24
141,2.91,36
141,2.99,60
